CountyName,Year,loading_kgha,loading_kgha_fullarea,load_kg,flow_mm,months_available,mean_coverage_frac,min_coverage_frac,county_area_ha,FWMC_mgL,complete_year,load_tonnes,precipmm,mean_n_stations,NS,CN,MN,FN,GN,corng_ha,soy_ha,tile_ha,tile_frac,loading_kgha_lag1,loading_kgha_lag2,loading_kgha_lag3,NS_lag1,NS_lag2,NS_lag3,precipmm_lag1,precipmm_lag2,precipmm_lag3
Buena Vista,2006,14.033966380830817,14.033966380830805,2109246.1223722906,117.61088018145858,12,0.9999999999999992,0.9999999999999992,150295.7941564788,11.93254090027912,True,2109.2461223722908,620.9666666666667,3.0,40.8,77.7,42.1,72.8,151.8,168500.0,142500.0,105081.576132,0.6991651145114246,16.433366181370243,21.94221753205469,18.477950124436447,28.6,15.6,19.7,779.1999999999999,795.0666666666666,734.8333333333333
Buena Vista,2007,34.72017919049946,34.72017919049944,5218296.904691363,340.71283211679105,12,0.9999999999999992,0.9999999999999992,150295.7941564788,10.190452462500128,True,5218.296904691363,850.9333333333333,3.0,59.9,101.9,46.3,75.8,164.1,183500.0,127800.0,105081.576132,0.6991651145114246,14.033966380830817,16.433366181370243,21.94221753205469,40.8,28.6,15.6,620.9666666666667,779.1999999999999,795.0666666666666
Buena Vista,2008,33.008448579793324,31.8809295221116,4791569.620972493,353.04199515767124,12,0.9336420797593971,0.6264966814238903,150295.7941564788,9.349722988351996,True,4791.569620972493,819.5333333333333,3.0,49.0,93.0,47.9,80.0,171.9,165000.0,142600.0,105081.576132,0.6991651145114246,34.72017919049946,14.033966380830817,16.433366181370243,59.9,40.8,28.6,850.9333333333333,620.9666666666667,779.1999999999999
Buena Vista,2009,20.02681066680768,18.794837271238364,2824784.993722557,227.7908285044221,12,0.9453647870168833,0.6264966814238903,150295.7941564788,8.791754610269088,True,2824.784993722557,691.5,3.0,42.4,90.3,48.0,85.3,181.2,171500.0,139600.0,105081.576132,0.6991651145114246,33.008448579793324,34.72017919049946,14.033966380830817,49.0,59.9,40.8,819.5333333333333,850.9333333333333,620.9666666666667
Buena Vista,2010,42.99379294616369,42.99379294616366,6461786.254642883,523.0015234184478,12,0.9999999999999992,0.9999999999999992,150295.7941564788,8.220586560656118,True,6461.786254642883,984.7666666666667,3.0,35.4,76.3,49.5,81.5,171.9,163500.0,145000.0,105081.576132,0.6991651145114246,20.02681066680768,33.008448579793324,34.72017919049946,42.4,49.0,59.9,691.5,819.5333333333333,850.9333333333333
Buena Vista,2011,21.36773910000988,21.367739100009867,3211481.3173644273,237.02610535597555,12,0.9999999999999992,0.9999999999999992,150295.7941564788,9.014930683655681,True,3211.4813173644275,581.4666666666667,3.0,51.5,94.9,51.2,73.4,168.0,171900.0,134000.0,105081.576132,0.6991651145114246,42.99379294616369,20.02681066680768,33.008448579793324,35.4,42.4,49.0,984.7666666666667,691.5,819.5333333333333
Buena Vista,2012,5.003814072757772,5.003814072757767,752052.2098764932,62.195610545262184,12,0.9999999999999992,0.9999999999999992,150295.7941564788,8.04528491462641,True,752.0522098764932,556.2333333333333,3.0,64.6,97.3,52.2,57.2,142.1,172500.0,132600.0,105081.576132,0.6991651145114246,21.36773910000988,42.99379294616369,20.02681066680768,51.5,35.4,42.4,581.4666666666667,984.7666666666667,691.5
Buena Vista,2013,35.90757993863448,35.90757993863445,5396758.243114312,163.85152290121948,12,0.9999999999999992,0.9999999999999992,150295.7941564788,21.914706255297936,True,5396.758243114312,664.1666666666666,3.0,44.2,84.6,49.1,61.6,151.1,172200.0,131500.0,105081.576132,0.6991651145114246,5.003814072757772,21.36773910000988,42.99379294616369,64.6,51.5,35.4,556.2333333333333,581.4666666666667,984.7666666666667
Buena Vista,2014,33.23000398107893,33.230003981078895,4994329.838159205,215.13111762113186,12,0.9999999999999992,0.9999999999999992,150295.7941564788,15.446395829914481,True,4994.329838159206,864.5666666666666,3.0,33.5,77.5,46.5,74.5,165.0,170300.0,137800.0,105081.576132,0.6991651145114246,35.90757993863448,5.003814072757772,21.36773910000988,44.2,64.6,51.5,664.1666666666666,556.2333333333333,581.4666666666667
Buena Vista,2015,71.96537600435968,71.96537600435963,10816093.338344833,394.0128054820726,12,0.9999999999999992,0.9999999999999992,150295.7941564788,18.264730232894443,True,10816.093338344834,928.2666666666667,3.0,20.5,72.9,43.5,105.1,201.0,159800.0,146400.0,105081.576132,0.6991651145114246,33.23000398107893,35.90757993863448,5.003814072757772,33.5,44.2,64.6,864.5666666666666,664.1666666666666,556.2333333333333
