CountyName,Year,loading_kgha,months_available,mean_concentration_mgL,flow_mm,area_ha,NS,precipmm,Value,NS_lag1,NS_lag2,precip_lag1,loading_lag1,NS_precip,precip_z,Value_std
Cerro Gordo,2005,23.126268562157808,12,7.302294912007976,265.4940384420965,148903.81436527905,-6.1,1024.58,194675.0,-8.0,-11.7,1061.22,21.906980366464996,-6249.937999999999,0.502836530068691,0.6130736495703057
Cerro Gordo,2006,21.963921178771944,12,7.3971760777604665,211.2536413440892,148903.81436527905,-9.6,830.3,194675.0,-6.1,-8.0,1024.58,23.126268562157808,-7970.879999999999,-0.431633408660982,0.6130736495703057
Cerro Gordo,2007,30.886543671617247,12,7.9032732738268905,378.6599107607339,148903.81436527905,1.3,1089.0,194675.0,-9.6,-6.1,830.3,21.963921178771944,1415.7,0.81269113915334,0.6130736495703057
Cerro Gordo,2008,30.965996554367692,9,6.039059300283018,393.38886744918807,148903.81436527905,4.9,1068.84,194675.0,1.3,-9.6,1089.0,30.886543671617247,5237.316,0.7157232888095564,0.6130736495703057
Cerro Gordo,2009,18.193023105909752,9,6.068967899340827,265.4205902084188,148903.81436527905,-4.7,882.0,194675.0,4.9,1.3,1068.84,30.965996554367692,-4145.400000000001,-0.1829608956265773,0.6130736495703057
Cerro Gordo,2010,25.194535461674004,12,5.695147178665895,412.14381170001997,148903.81436527905,0.0,855.36,194675.0,-4.7,4.9,882.0,18.193023105909752,0.0,-0.31109698358086224,0.6130736495703057
Cerro Gordo,2011,19.951693220770313,12,4.93868079705044,291.4647904153008,148903.81436527905,17.7,644.86,194675.0,0.0,-4.7,855.36,25.194535461674004,11414.021999999999,-1.3235837146010196,0.6130736495703057
Cerro Gordo,2012,2.317876778137538,12,2.8635293989906465,59.81910659540785,148903.81436527905,31.2,583.82,194675.0,17.7,0.0,644.86,19.951693220770313,18215.184,-1.6171808170308077,0.6130736495703057
Cerro Gordo,2013,38.273322828387904,12,6.110558899591613,361.83655094285587,148903.81436527905,-3.1,1047.46,194675.0,31.2,17.7,583.82,2.317876778137538,-3247.126,0.612887344347747,0.6130736495703057
Cerro Gordo,2014,28.293865784959955,12,7.139664088332567,299.38916527466716,148903.81436527905,0.3,948.26,194675.0,-3.1,31.2,1047.46,38.273322828387904,284.478,0.13574395376722614,0.6130736495703057
Cerro Gordo,2015,25.562193971520458,12,7.963779706798495,293.7027054316303,148903.81436527905,-8.3,1004.68,194675.0,0.3,-3.1,948.26,28.293865784959955,-8338.844000000001,0.4071192571598971,0.6130736495703057
Cerro Gordo,2016,53.356363114523404,12,9.402035970740018,591.0971941499985,148903.81436527905,-7.6,1173.82,194675.0,-8.3,0.3,1004.68,25.562193971520458,-8921.032,1.2206679777525309,0.6130736495703057
Cerro Gordo,2017,26.233214642930008,12,6.23370877977074,339.3891604879398,148903.81436527905,-8.2,827.06,194675.0,-7.6,-8.3,1173.82,53.356363114523404,-6781.891999999999,-0.4472175274662329,0.6130736495703057
Cerro Gordo,2018,43.55315019575566,12,6.03812597099519,673.1680195298818,148903.81436527905,-7.2,1326.62,194675.0,-8.2,-7.6,827.06,26.233214642930008,-9551.663999999999,1.9556227164693005,0.6130736495703057
Cerro Gordo,2019,26.0020338201039,12,4.956808969065215,492.4537862678342,148903.81436527905,-13.3,1022.29,194675.0,-7.2,-8.2,1326.62,43.55315019575566,-13596.457,0.4918218288143626,0.6130736495703057
Cherokee,2001,10.799716437261145,12,4.9938807182757285,178.02717964064826,149435.4855672672,13.0,814.9,147132.0,30.0,,578.1333333333333,1.2921203341206022,10593.699999999999,-0.5057060721180385,0.05447101887948847
Cherokee,2002,3.9386739734051313,12,5.621953209861222,69.45345192201836,149435.4855672672,20.8,787.6,147132.0,13.0,30.0,814.9,10.799716437261145,16382.080000000002,-0.6370167027919115,0.05447101887948847
Cherokee,2003,8.788577602516321,12,5.53482264998312,106.93970388141514,149435.4855672672,17.5,779.0666666666667,147132.0,20.8,13.0,787.6,3.9386739734051313,13633.666666666668,-0.6780612955300206,0.05447101887948847
Cherokee,2004,11.215126317823108,12,6.651006847915838,163.3046240277222,149435.4855672672,16.5,889.5,147132.0,17.5,20.8,779.0666666666667,8.788577602516321,14676.75,-0.1468865465403484,0.05447101887948847
Cherokee,2005,12.351676024309555,12,7.916410278113013,137.73419710170626,149435.4855672672,21.9,802.8666666666667,147132.0,16.5,17.5,889.5,11.215126317823108,17582.78,-0.5635853610963878,0.05447101887948847
Cherokee,2006,11.827317115189967,12,6.614288457072322,136.96640837596524,149435.4855672672,37.6,701.5333333333333,147132.0,21.9,16.5,802.8666666666667,12.351676024309555,26377.653333333332,-1.050989899861436,0.05447101887948847
Cherokee,2007,18.21677490339693,12,6.731234826158224,259.1151885825395,149435.4855672672,49.0,1050.2333333333333,147132.0,37.6,21.9,701.5333333333333,11.827317115189967,51461.433333333334,0.6262268369876325,0.05447101887948847
Cherokee,2008,14.677568880250167,8,7.105180877119194,191.33547057511936,149435.4855672672,38.2,880.3333333333333,147132.0,49.0,37.6,1050.2333333333333,18.21677490339693,33628.73333333333,-0.19097741764573964,0.05447101887948847
Cherokee,2009,7.580588904228952,9,6.141145753935579,112.69507174798568,149435.4855672672,25.3,777.15,147132.0,38.2,49.0,880.3333333333333,14.677568880250167,19661.895,-0.6872802958520572,0.05447101887948847
Cherokee,2010,34.77746595455395,12,8.198720619010656,399.578153157904,149435.4855672672,14.8,1002.5999999999999,147132.0,25.3,38.2,777.15,7.580588904228952,14838.48,0.3971146376799828,0.05447101887948847
Cherokee,2011,24.38015587657387,12,7.133446129651117,282.0306874631165,149435.4855672672,27.9,569.55,147132.0,14.8,25.3,1002.5999999999999,34.77746595455395,15890.444999999998,-1.685818278558873,0.05447101887948847
Cherokee,2012,4.603252886746127,12,3.8809379406804108,80.90182537289424,149435.4855672672,35.5,662.85,147132.0,27.9,14.8,569.55,24.38015587657387,23531.175,-1.2370533759261853,0.05447101887948847
Cherokee,2013,10.201163812724383,12,4.996373895079309,114.38537048094467,149435.4855672672,14.3,782.15,147132.0,35.5,27.9,662.85,4.603252886746127,11184.745,-0.6632307297945713,0.05447101887948847
Cherokee,2014,8.63167913220839,12,5.202350442424636,148.85038157452195,149435.4855672672,13.9,912.65,147132.0,14.3,35.5,782.15,10.201163812724383,12685.835,-0.035537055694188684,0.05447101887948847
