CountyName,Year,Month,loading_kgha,load_covered_area_ha,n_valid_pieces,n_total_pieces,county_area_ha_from_pieces,coverage_frac
Dubuque,2001.0,8.0,0.865659492949611,131178.06475494104,3.0,3.0,159717.83903425274,0.8213112921394389
Dubuque,2001.0,9.0,0.7918062565983734,131178.06475494104,3.0,3.0,159717.83903425274,0.8213112921394389
Dubuque,2001.0,10.0,1.3923642767279867,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2001.0,11.0,1.0166692965618733,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2001.0,12.0,1.1074085164375898,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2002.0,1.0,1.0917032288590443,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2002.0,2.0,0.8698759102857394,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2002.0,3.0,1.279797117807617,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2002.0,4.0,1.2903746494855544,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2002.0,5.0,1.9146401185385915,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2002.0,6.0,11.763988674452667,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2002.0,7.0,1.6732665009036995,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2002.0,8.0,2.9180584515123935,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2002.0,9.0,1.0904102837593768,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2002.0,10.0,0.8719618335650632,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2002.0,11.0,0.9114014024632033,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2002.0,12.0,0.6124787509361036,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2003.0,1.0,0.7488249839318787,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2003.0,2.0,0.7127712155862616,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2003.0,3.0,0.8288089333353373,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2003.0,4.0,0.5387088011599255,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2003.0,5.0,1.8958138550552996,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2003.0,6.0,0.8350629015587968,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2003.0,7.0,2.789361512746179,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2003.0,8.0,0.5689219087862878,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2003.0,9.0,0.3743302408958453,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2003.0,10.0,0.2926678311750586,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2003.0,11.0,1.9706337500993885,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2003.0,12.0,1.3284215591331474,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2004.0,1.0,0.9969737716952505,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2004.0,2.0,1.1756996399119384,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2004.0,3.0,2.9107072609604847,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2004.0,4.0,2.4407129533118446,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2004.0,5.0,5.514780278339284,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2004.0,6.0,6.106834756253838,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2004.0,7.0,1.79485957960725,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2004.0,8.0,0.7338542074080112,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2004.0,9.0,0.43153685396826136,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2004.0,10.0,0.4440858405164203,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2004.0,11.0,0.6170404170689452,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2004.0,12.0,0.6297270452108121,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2005.0,1.0,0.5468140746254826,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2005.0,2.0,1.9773200570291019,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2005.0,3.0,0.9110118489332213,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2005.0,4.0,0.8735315925247649,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2005.0,5.0,0.8219247095772201,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2005.0,6.0,0.6499941119912092,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2005.0,7.0,0.4762609058360082,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2005.0,8.0,0.24216597557227815,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2005.0,9.0,0.2146055285554098,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2005.0,10.0,0.26937472880087265,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2005.0,11.0,0.29502037762659683,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2005.0,12.0,0.33450344817870303,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2006.0,1.0,0.6644095400451534,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2006.0,2.0,0.42221832889644106,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2006.0,3.0,0.7836198136580433,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2006.0,4.0,4.595154016083326,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2006.0,5.0,2.825132295677224,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2006.0,6.0,3.0321209898448775,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2006.0,7.0,0.9538359355733581,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2006.0,8.0,0.729451545423932,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2006.0,9.0,0.6956143928783627,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2006.0,10.0,0.6500182668450321,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2006.0,11.0,0.9029915618494977,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2006.0,12.0,2.0308886684700047,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2007.0,1.0,1.6892094765872017,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2007.0,2.0,0.7044108539479893,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2007.0,3.0,1.6291126459117418,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2007.0,4.0,7.894913038706224,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2007.0,5.0,2.9543867542988163,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2007.0,6.0,2.8264328008457142,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2007.0,7.0,1.6533002345197338,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2007.0,8.0,2.1534060587632355,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2007.0,9.0,1.735824992859941,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2007.0,10.0,5.745322598478219,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2007.0,11.0,2.5174959605921416,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2007.0,12.0,1.3699698590301348,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2008.0,1.0,1.460255453628085,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2008.0,2.0,1.5050830154835668,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2008.0,3.0,4.390517512716343,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
Dubuque,2008.0,4.0,10.86258930627198,81967.40761162646,2.0,2.0,159717.83903425274,0.5132013312179106
